315500	1	214	2017
481000	1	357	2017
311000	1	397	2017
449500	1	351	2017
355500	1	271	2017
318000	1	263	2017
336000	1	385	2017
368500	1	389	2017
326000	1	478	2017
483000	1	550	2017
400500	0	342	2017
425500	0	474	2017
301500	1	344	2017
410000	1	331	2017
484500	1	384	2017
403000	1	679	2017
338500	1	292	2017
387000	1	459	2017
360000	1	280	2017
302000	1	213	2017
342500	1	262	2017
369500	1	423	2017
316000	0	275	2017
313500	1	462	2017
377000	1	269	2017
362500	0	269	2017
410500	1	458	2017
471000	1	378	2017
374000	1	329	2017
366000	1	263	2017
488500	1	408	2017
336500	1	259	2017
320500	1	259	2017
388000	1	271	2017
384500	1	274	2017
311500	0	266	2017
485500	1	372	2017
380500	1	279	2017
364000	1	268	2017
425000	1	343	2017
482500	1	543	2017
369000	0	269	2017
409500	1	418	2017
368000	0	307	2017
476000	1	373	2017
443500	1	501	2017
411500	1	386	2017
449000	1	383	2017
451500	1	315	2017
361000	1	212	2017
411000	1	325	2017
389000	1	560	2017
334500	1	318	2017
355500	1	475	2017
302000	1	423	2017
372500	1	445	2017
393000	1	538	2017
334000	1	259	2017
491500	1	540	2017
365500	1	292	2017
354500	1	262	2017
466000	1	305	2017
399000	0	346	2017
350000	1	294	2017
452500	1	390	2017
312500	1	587	2017
371500	1	437	2017
381000	1	483	2017
462000	1	325	2017
480500	1	392	2017
426000	0	506	2017
362500	1	452	2017
494000	1	405	2017
376000	1	279	2017
359500	1	534	2017
365500	0	276	2017
498000	1	385	2017
380000	1	329	2017
374500	0	302	2017
474500	0	356	2017
424000	0	348	2017
324500	1	212	2017
337500	1	681	2017
496000	1	376	2017
439500	1	348	2017
417500	1	387	2017
354000	1	270	2017
434500	1	382	2017
496000	1	396	2017
331500	1	302	2017
390500	1	302	2017
315500	0	330	2017
355500	1	253	2017
454000	1	365	2017
401500	1	390	2017
447000	1	562	2017
404500	1	330	2017
345500	1	350	2017
318500	1	405	2017
360500	1	212	2017
321000	1	434	2017
403500	1	293	2017
446000	1	343	2017
468000	1	369	2017
377500	1	263	2017
308500	0	348	2017
408000	1	415	2017
484000	1	485	2017
442500	0	714	2017
300500	1	411	2017
362500	0	269	2017
361000	1	327	2017
428000	1	346	2017
486000	1	390	2017
368500	1	267	2017
351000	1	399	2017
413500	1	455	2017
330000	0	437	2017
342000	0	313	2017
380500	1	266	2017
466000	1	352	2017
375000	1	541	2017
356500	1	285	2017
417000	1	357	2017
345500	1	259	2017
370000	0	324	2017
302500	1	323	2017
313000	0	259	2017
475500	1	715	2017
381500	1	423	2017
487000	1	344	2017
458500	1	374	2017
320000	1	429	2017
384500	1	328	2017
492500	1	386	2017
383500	1	291	2017
336500	1	348	2017
439500	1	302	2017
463500	1	796	2017
419500	1	354	2017
383500	0	406	2017
354000	1	418	2017
467000	1	506	2017
350500	1	279	2017
445500	0	517	2017
353500	1	390	2017
484500	1	435	2017
328500	1	405	2017
363000	1	338	2017
346500	1	386	2017
426500	1	290	2017
353000	1	387	2017
408500	1	429	2017
430000	1	431	2017
317500	1	241	2017
369000	0	378	2017
356000	0	269	2017
460000	1	391	2017
331500	1	283	2017
418500	1	369	2017
300500	0	328	2017
440000	1	343	2017
380500	1	266	2017
338000	1	466	2017
431500	1	405	2017
392000	1	423	2017
357500	1	437	2017
449500	1	378	2017
493000	1	459	2017
482000	1	649	2017
378000	1	319	2017
362000	1	327	2017
314000	1	283	2017
318500	0	538	2017
486500	1	314	2017
310000	0	269	2017
352000	1	212	2017
452000	1	390	2017
364500	1	306	2017
430500	1	754	2017
